ID,V201549x,V202022,V201200,V201231x,V201452,V201507x,V201600,V202406,Prompt,Response
fake_0,1,-6,99,7,1,80,2,4,"Today is November 3, 2020. Racially, I am white. Politically, I am a strong Republican. I attend church. I am 80 years old. I am a woman. I am not at all interested in politics.. Question: Do you favor, oppose, or neither favor nor oppose allowing refugees who are fleeing war, persecution, or natural disasters in other countries to come to live in the U.S.?

Answer choices:
1. Favor 2. Oppose 3. Neither favor nor oppos

My answer is
",2
fake_1,1,1,2,2,2,72,2,1,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am liberal. Politically, I am a weak Democrat. I do not attend church. I am 72 years old. I am a woman. I am very interested in politics.. Question: Do you favor, oppose, or neither favor nor oppose allowing refugees who are fleeing war, persecution, or natural disasters in other countries to come to live in the U.S.?

Answer choices:
1. Favor 2. Oppose 3. Neither favor nor oppos

My answer is
",1
fake_2,1,1,99,2,1,80,2,2,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Politically, I am a weak Democrat. I attend church. I am 80 years old. I am a woman. I am somewhat interested in politics.. Question: Do you favor, oppose, or neither favor nor oppose allowing refugees who are fleeing war, persecution, or natural disasters in other countries to come to live in the U.S.?

Answer choices:
1. Favor 2. Oppose 3. Neither favor nor oppos

My answer is
",1
fake_3,1,-6,6,1,2,75,2,3,"Today is November 3, 2020. Racially, I am white. Ideologically, I am conservative. Politically, I am a strong democrat. I do not attend church. I am 75 years old. I am a woman. I am not very interested in politics.. Question: Do you favor, oppose, or neither favor nor oppose allowing refugees who are fleeing war, persecution, or natural disasters in other countries to come to live in the U.S.?

Answer choices:
1. Favor 2. Oppose 3. Neither favor nor oppos

My answer is
",1
fake_4,1,1,6,5,1,78,2,1,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am an independent who leans Republican. I attend church. I am 78 years old. I am a woman. I am very interested in politics.. Question: Do you favor, oppose, or neither favor nor oppose allowing refugees who are fleeing war, persecution, or natural disasters in other countries to come to live in the U.S.?

Answer choices:
1. Favor 2. Oppose 3. Neither favor nor oppos

My answer is
",1
fake_5,1,2,6,1,2,71,2,2,"Today is November 3, 2020. Racially, I am white. I never discuss politics with my family or friends. Ideologically, I am conservative. Politically, I am a strong democrat. I do not attend church. I am 71 years old. I am a woman. I am somewhat interested in politics.. Question: Do you favor, oppose, or neither favor nor oppose allowing refugees who are fleeing war, persecution, or natural disasters in other countries to come to live in the U.S.?

Answer choices:
1. Favor 2. Oppose 3. Neither favor nor oppos

My answer is
",1
fake_6,1,1,7,5,1,80,2,2,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am extremely conservative. Politically, I am an independent who leans Republican. I attend church. I am 80 years old. I am a woman. I am somewhat interested in politics.. Question: Do you favor, oppose, or neither favor nor oppose allowing refugees who are fleeing war, persecution, or natural disasters in other countries to come to live in the U.S.?

Answer choices:
1. Favor 2. Oppose 3. Neither favor nor oppos

My answer is
",1
fake_7,1,1,6,1,2,71,2,-6,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am a strong democrat. I do not attend church. I am 71 years old. I am a woman.. Question: Do you favor, oppose, or neither favor nor oppose allowing refugees who are fleeing war, persecution, or natural disasters in other countries to come to live in the U.S.?

Answer choices:
1. Favor 2. Oppose 3. Neither favor nor oppos

My answer is
",1
fake_8,1,1,5,6,1,65,1,2,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am slightly conservative. Politically, I am a weak Republican. I attend church. I am 65 years old. I am a man. I am somewhat interested in politics.. Question: Do you favor, oppose, or neither favor nor oppose allowing refugees who are fleeing war, persecution, or natural disasters in other countries to come to live in the U.S.?

Answer choices:
1. Favor 2. Oppose 3. Neither favor nor oppos

My answer is
",3
fake_9,3,1,1,7,2,72,2,2,"Today is November 3, 2020. Racially, I am asian. I like to discuss politics with my family and friends. Ideologically, I am extremely liberal. Politically, I am a strong Republican. I do not attend church. I am 72 years old. I am a woman. I am somewhat interested in politics.. Question: Do you favor, oppose, or neither favor nor oppose allowing refugees who are fleeing war, persecution, or natural disasters in other countries to come to live in the U.S.?

Answer choices:
1. Favor 2. Oppose 3. Neither favor nor oppos

My answer is
",1
