ID,V201549x,V202022,V201200,V201231x,V201452,V201507x,V201600,V202406,Prompt,Response
fake_0,1,1,99,7,1,80,1,3,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Politically, I am a strong Republican. I attend church. I am 80 years old. I am a man. I am not very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",2
fake_1,1,2,6,6,2,25,1,1,"Today is November 3, 2020. Racially, I am white. I never discuss politics with my family or friends. Ideologically, I am conservative. Politically, I am a weak Republican. I do not attend church. I am 25 years old. I am a man. I am very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_2,1,1,4,1,2,41,1,2,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am moderate. Politically, I am a strong democrat. I do not attend church. I am 41 years old. I am a man. I am somewhat interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_3,3,1,3,2,1,71,1,3,"Today is November 3, 2020. Racially, I am asian. I like to discuss politics with my family and friends. Ideologically, I am slightly liberal. Politically, I am a weak Democrat. I attend church. I am 71 years old. I am a man. I am not very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_4,1,1,4,4,2,71,1,1,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am moderate. Politically, I am an independent. I do not attend church. I am 71 years old. I am a man. I am very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_5,1,1,5,3,2,54,1,3,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am slightly conservative. Politically, I am an independent who leans Democratic. I do not attend church. I am 54 years old. I am a man. I am not very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_6,1,1,6,1,1,68,1,2,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am a strong democrat. I attend church. I am 68 years old. I am a man. I am somewhat interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_7,1,1,6,4,2,21,1,1,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am an independent. I do not attend church. I am 21 years old. I am a man. I am very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_8,-9,2,99,3,1,45,1,2,"Today is November 3, 2020. I never discuss politics with my family or friends. Politically, I am an independent who leans Democratic. I attend church. I am 45 years old. I am a man. I am somewhat interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_9,1,1,5,5,2,46,1,1,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am slightly conservative. Politically, I am an independent who leans Republican. I do not attend church. I am 46 years old. I am a man. I am very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_10,4,1,2,7,1,29,1,1,"Today is November 3, 2020. Racially, I am native American. I like to discuss politics with my family and friends. Ideologically, I am liberal. Politically, I am a strong Republican. I attend church. I am 29 years old. I am a man. I am very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_11,1,1,5,7,1,61,1,1,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am slightly conservative. Politically, I am a strong Republican. I attend church. I am 61 years old. I am a man. I am very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",1
fake_12,1,1,6,4,2,58,1,4,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am an independent. I do not attend church. I am 58 years old. I am a man. I am not at all interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",1
fake_13,1,1,3,1,2,65,1,2,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am slightly liberal. Politically, I am a strong democrat. I do not attend church. I am 65 years old. I am a man. I am somewhat interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_14,1,1,5,3,2,77,1,1,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am slightly conservative. Politically, I am an independent who leans Democratic. I do not attend church. I am 77 years old. I am a man. I am very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_15,2,1,1,7,2,57,1,1,"Today is November 3, 2020. Racially, I am black. I like to discuss politics with my family and friends. Ideologically, I am extremely liberal. Politically, I am a strong Republican. I do not attend church. I am 57 years old. I am a man. I am very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_16,1,1,2,4,2,41,1,2,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am liberal. Politically, I am an independent. I do not attend church. I am 41 years old. I am a man. I am somewhat interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",Makes
fake_17,1,1,4,6,2,68,1,3,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am moderate. Politically, I am a weak Republican. I do not attend church. I am 68 years old. I am a man. I am not very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_18,1,1,1,1,1,65,1,1,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am extremely liberal. Politically, I am a strong democrat. I attend church. I am 65 years old. I am a man. I am very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_19,3,1,6,7,1,20,1,2,"Today is November 3, 2020. Racially, I am asian. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am a strong Republican. I attend church. I am 20 years old. I am a man. I am somewhat interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",1
fake_20,1,1,99,7,1,50,1,2,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Politically, I am a strong Republican. I attend church. I am 50 years old. I am a man. I am somewhat interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_21,1,2,5,3,1,30,1,2,"Today is November 3, 2020. Racially, I am white. I never discuss politics with my family or friends. Ideologically, I am slightly conservative. Politically, I am an independent who leans Democratic. I attend church. I am 30 years old. I am a man. I am somewhat interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_22,1,1,5,1,2,61,1,4,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am slightly conservative. Politically, I am a strong democrat. I do not attend church. I am 61 years old. I am a man. I am not at all interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_23,1,1,6,2,2,72,1,1,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am a weak Democrat. I do not attend church. I am 72 years old. I am a man. I am very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_24,1,-6,2,1,1,66,1,-6,"Today is November 3, 2020. Racially, I am white. Ideologically, I am liberal. Politically, I am a strong democrat. I attend church. I am 66 years old. I am a man.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_25,1,1,5,1,1,24,1,1,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am slightly conservative. Politically, I am a strong democrat. I attend church. I am 24 years old. I am a man. I am very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_26,2,1,2,7,2,73,1,2,"Today is November 3, 2020. Racially, I am black. I like to discuss politics with my family and friends. Ideologically, I am liberal. Politically, I am a strong Republican. I do not attend church. I am 73 years old. I am a man. I am somewhat interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",Makes
fake_27,3,1,5,3,1,28,1,3,"Today is November 3, 2020. Racially, I am asian. I like to discuss politics with my family and friends. Ideologically, I am slightly conservative. Politically, I am an independent who leans Democratic. I attend church. I am 28 years old. I am a man. I am not very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_28,-9,1,6,3,2,24,1,2,"Today is November 3, 2020. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am an independent who leans Democratic. I do not attend church. I am 24 years old. I am a man. I am somewhat interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_29,1,2,2,7,1,40,1,-7,"Today is November 3, 2020. Racially, I am white. I never discuss politics with my family or friends. Ideologically, I am liberal. Politically, I am a strong Republican. I attend church. I am 40 years old. I am a man.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_30,1,1,99,6,2,67,1,4,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Politically, I am a weak Republican. I do not attend church. I am 67 years old. I am a man. I am not at all interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_31,1,1,4,4,2,35,1,3,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am moderate. Politically, I am an independent. I do not attend church. I am 35 years old. I am a man. I am not very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_32,1,1,6,6,2,20,1,1,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am a weak Republican. I do not attend church. I am 20 years old. I am a man. I am very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",Makes
fake_33,-9,-6,3,7,2,80,1,3,"Today is November 3, 2020. Ideologically, I am slightly liberal. Politically, I am a strong Republican. I do not attend church. I am 80 years old. I am a man. I am not very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",Makes
fake_34,4,1,4,3,2,80,1,2,"Today is November 3, 2020. Racially, I am native American. I like to discuss politics with my family and friends. Ideologically, I am moderate. Politically, I am an independent who leans Democratic. I do not attend church. I am 80 years old. I am a man. I am somewhat interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_35,1,1,2,3,2,50,1,2,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am liberal. Politically, I am an independent who leans Democratic. I do not attend church. I am 50 years old. I am a man. I am somewhat interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_36,1,1,2,7,2,60,1,1,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am liberal. Politically, I am a strong Republican. I do not attend church. I am 60 years old. I am a man. I am very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_37,1,1,99,7,-9,69,1,1,"Today is November 3, 2020. Racially, I am white. I like to discuss politics with my family and friends. Politically, I am a strong Republican. I am 69 years old. I am a man. I am very interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_38,3,1,99,1,2,35,1,2,"Today is November 3, 2020. Racially, I am asian. I like to discuss politics with my family and friends. Politically, I am a strong democrat. I do not attend church. I am 35 years old. I am a man. I am somewhat interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
fake_39,2,1,6,6,2,61,1,4,"Today is November 3, 2020. Racially, I am black. I like to discuss politics with my family and friends. Ideologically, I am conservative. Politically, I am a weak Republican. I do not attend church. I am 61 years old. I am a man. I am not at all interested in politics.. Question: Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home and family?

Answer choices:
1. Better 2. Worse 3. Makes no difference

My answer is
",3
